IdCliente,NombreCompania,NombreContacto,CargoContacto,Direccion,Ciudad,Region,CodPostal,Pais,Telefono,Fax
ALFKI,Alfreds Futterkiste,Maria Anders,Representante de Ventas,Obere Str. 57,Berlin,,12209,Alemania,030-0074321,030-0076545
ANATR,Ana Trujillo Emparedados y helados,Ana Trujillo,Propietario,Avda. de la Constitución 2222,México D.F.,,05021,Mexico,(5) 555-4729,(5) 555-3745
ANTON,Antonio Moreno Taquería,Antonio Moreno,Propietario,Mataderos  2312,México D.F.,,05023,Mexico,(5) 555-3932,
AROUT,Around the Horn,Thomas Hardy,Representante de Ventas,120 Hanover Sq.,London,,WA1 1DP,Reino Unido,(171) 555-7788,(171) 555-6750
BERGS,Berglunds snabbköp,Christina Berglund,Administrador de Pedidos,Berguvsvägen  8,Luleå,,S-958 22,Suecia,0921-12 34 65,0921-12 34 67
BLAUS,Blauer See Delikatessen,Hanna Moos,Representante de Ventas,Forsterstr. 57,Mannheim,,68306,Alemania,0621-08460,0621-08924
BLONP,Blondesddsl père et fils,Frédérique Citeaux,Gerente de Marketing,"24, place Kléber",Strasbourg,,67000,Francia,88.60.15.31,88.60.15.32
BOLID,Bólido Comidas preparadas,Martín Sommer,Propietario,"C/ Araquil, 67",Madrid,,28023,España,(91) 555 22 82,(91) 555 91 99
BONAP,Bon app',Laurence Lebihan,Propietario,"12, rue des Bouchers",Marseille,,13008,Francia,91.24.45.40,91.24.45.41
BOTTM,Bottom-Dollar Markets,Elizabeth Lincoln,Gerente de Contabilidad,23 Tsawassen Blvd.,Tsawassen,BC,T2F 8M4,Canada,(604) 555-4729,(604) 555-3745
BSBEV,B's Beverages,Victoria Ashworth,Representante de Ventas,Fauntleroy Circus,London,,EC2 5NT,Reino Unido,(171) 555-1212,
CACTU,Cactus Comidas para llevar,Patricio Simpson,Agente de Ventas,Cerrito 333,Buenos Aires,,1010,Argentina,(1) 135-5555,(1) 135-4892
CENTC,Centro comercial Moctezuma,Francisco Chang,Gerente de Marketing,Sierras de Granada 9993,México D.F.,,05022,Mexico,(5) 555-3392,(5) 555-7293
CHOPS,Chop-suey Chinese,Yang Wang,Propietario,Hauptstr. 29,Bern,,3012,Suiza,0452-076545,
COMMI,Comércio Mineiro,Pedro Afonso,Asociado de Ventas,"Av. dos Lusíadas, 23",Sao Paulo,SP,05432-043,Brasil,(11) 555-7647,
CONSH,Consolidated Holdings,Elizabeth Brown,Representante de Ventas,Berkeley Gardens 12  Brewery,London,,WX1 6LT,Reino Unido,(171) 555-2282,(171) 555-9199
DRACD,Drachenblut Delikatessen,Sven Ottlieb,Administrador de Pedidos,Walserweg 21,Aachen,,52066,Alemania,0241-039123,0241-059428
DUMON,Du monde entier,Janine Labrune,Propietario,"67, rue des Cinquante Otages",Nantes,,44000,Francia,40.67.88.88,40.67.89.89
EASTC,Eastern Connection,Ann Devon,Agente de Ventas,35 King George,London,,WX3 6FW,Reino Unido,(171) 555-0297,(171) 555-3373
ERNSH,Ernst Handel,Roland Mendel,Gerente de Ventas,Kirchgasse 6,Graz,,8010,Austria,7675-3425,7675-3426
FAMIA,Familia Arquibaldo,Aria Cruz,Asistente de Marketing,"Rua Orós, 92",Sao Paulo,SP,05442-030,Brasil,(11) 555-9857,
FISSA,FISSA Fabrica Inter. Salchichas S.A.,Diego Roel,Gerente de Contabilidad,"C/ Moralzarzal, 86",Madrid,,28034,España,(91) 555 94 44,(91) 555 55 93
FOLIG,Folies gourmandes,Martine Rancé,Agente de Ventas Asistente,"184, chaussée de Tournai",Lille,,59000,Francia,20.16.10.16,20.16.10.17
FOLKO,Folk och fä HB,Maria Larsson,Propietario,Åkergatan 24,Bräcke,,S-844 67,Suecia,0695-34 67 21,
FRANK,Frankenversand,Peter Franken,Gerente de Marketing,Berliner Platz 43,München,,80805,Alemania,089-0877310,089-0877451
